id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
SP5403_Q061,,RES-S03,Academic,"A school psychologist is working with a student whose parents are going through a divorce. The student has been having difficulty concentrating in class. Which of the following would be the most appropriate intervention?","Referring the student for a comprehensive evaluation for attention problems","Providing supportive counseling to help the student cope with the family changes","Recommending that the student be placed in a smaller classroom","Contacting the parents to recommend family therapy",B,"Providing supportive counseling to help the student cope with the family changes",A=75|B=80|C=62|D=50,80.00,A=0.94|B=1.00|C=0.78|D=0.63,"irrelevant-domain",ETS
SP5403_Q062,,DBDM-S08,DBDM,"Which of the following is a primary advantage of using curriculum-based measurement for progress monitoring?","It provides detailed diagnostic information about specific skill deficits.","It can be administered frequently without practice effects.","It compares students to a national normative sample.","It measures a comprehensive range of academic skills.",B,"It can be administered frequently without practice effects.",A=74|B=59|C=52|D=53,59.00,A=1.25|B=1.00|C=0.88|D=0.90,"none",ETS
SP5403_Q063,,CC-S03,C&C,"A school psychologist is asked to help a teacher who is struggling to manage a particularly challenging classroom. Which of the following consultation approaches would be most effective?","Taking over the classroom for a day to demonstrate effective strategies","Working collaboratively with the teacher to identify problems and develop solutions","Providing the teacher with a list of research-based strategies to implement","Observing the classroom and reporting findings to the principal",B,"Working collaboratively with the teacher to identify problems and develop solutions",A=71|B=83|C=75|D=63,83.00,A=0.86|B=1.00|C=0.90|D=0.76,"irrelevant-domain",ETS
SP5403_Q064,,DBDM-S05,DBDM,"Which of the following assessment tools would be most appropriate for measuring a student's executive functioning skills?","A standardized achievement test","A behavior rating scale designed to assess executive function","A projective personality assessment","A universal reading screener",B,"A behavior rating scale designed to assess executive function",A=31|B=61|C=35|D=28,61.00,A=0.51|B=1.00|C=0.57|D=0.46,"length-mismatch",ETS
SP5403_Q065,,DBDM-S03,DBDM,"A school psychologist is interpreting results from a cognitive assessment. The student's Verbal Comprehension Index score is significantly higher than the Perceptual Reasoning Index score. Which of the following interpretations is most appropriate?","The student has a learning disability.","The Full Scale IQ is a valid representation of the student's overall ability.","The student shows a pattern of relative strengths and weaknesses that should be considered in educational planning.","The student should be referred for further evaluation of nonverbal learning disability.",C,"The student shows a pattern of relative strengths and weaknesses that should be considered in educational planning.",A=38|B=77|C=115|D=87,115.00,A=0.33|B=0.67|C=1.00|D=0.76,"length-mismatch",ETS
SP5403_Q066,,NEW-4-Psychopathology,MBH,"Which of the following is the best example of applied behavior analysis?","Using psychoanalytic techniques to understand a student's behavior","Implementing systematic reinforcement procedures to change behavior","Prescribing medication to address behavioral symptoms","Using projective techniques to assess personality",B,"Implementing systematic reinforcement procedures to change behavior",A=66|B=67|C=53|D=49,67.00,A=0.99|B=1.00|C=0.79|D=0.73,"none",ETS
SP5403_Q067,,"NEW-8-Acculturation",Academic,"A school psychologist is conducting an evaluation of a student referred for possible specific learning disability. Which of the following would be most important to rule out before identifying the student as having SLD?","Emotional disturbance","Lack of appropriate instruction",Autism spectrum disorder,"Other health impairment",B,"Lack of appropriate instruction",A=21|B=31|C=24|D=23,31.00,A=0.68|B=1.00|C=0.77|D=0.74,"none",ETS
SP5403_Q068,,DBDM-S09,DBDM,"Which of the following best describes the purpose of universal screening?","To diagnose specific disabilities in students","To identify students who may need additional support or intervention","To determine eligibility for special education services","To evaluate the effectiveness of classroom instruction",B,"To identify students who may need additional support or intervention",A=45|B=68|C=55|D=54,68.00,A=0.66|B=1.00|C=0.81|D=0.79,"none",ETS
SP5403_Q069,,FSC-S01,DBDM,"A school psychologist is working with a student who has been identified as gifted. The student reports feeling bored and unchallenged in class. Which of the following would be the most appropriate recommendation?","Placing the student in a self-contained classroom for students with disabilities","Providing enrichment activities and acceleration opportunities","Recommending that the student skip two grade levels","Suggesting the parents find educational opportunities outside of school",B,"Providing enrichment activities and acceleration opportunities",A=80|B=62|C=51|D=71,62.00,A=1.29|B=1.00|C=0.82|D=1.15,"none",ETS
SP5403_Q070,,"NEW-1-DynamicAssessment",DBDM,"Which of the following is the most appropriate use of dynamic assessment?","To compare a student's performance to national norms","To assess a student's learning potential and responsiveness to instruction","To diagnose specific learning disabilities","To measure achievement in specific academic content areas",B,"To assess a student's learning potential and responsiveness to instruction",A=52|B=74|C=42|D=57,74.00,A=0.70|B=1.00|C=0.57|D=0.77,"none",ETS
SP5403_Q071,,DBDM-S03,Family,"A school psychologist is meeting with a parent who is concerned about their child's progress. The parent asks the school psychologist to explain what a percentile rank means. Which of the following explanations would be most accurate and helpful?","It shows the percentage of questions your child answered correctly.","It shows how your child's performance compares to other students of the same age or grade.",It predicts your child's future academic success.,"It shows the percentage of content your child has mastered.",B,"It shows how your child's performance compares to other students of the same age or grade.",A=67|B=90|C=49|D=59,90.00,A=0.74|B=1.00|C=0.54|D=0.66,"none",ETS
